household_id,city,occupants,income_bracket,home_size_sqft,has_solar_panel,daily_kwh,thermostat_setting,avg_temp,month
9a9e42ab-ce72-423a-8e43-c90f397918fb,West Timothy,4,Low,1209,0,36.15,60.0,28.0,5
527e820c-8354-41d4-8b54-1d4433eaee5d,West Jeffrey,5,High,2716,1,19.787999999999997,65.0,20.8,6
71d6d3e4-60f6-44c3-b518-0a2df97b92de,New Lindatown,3,Low,2783,0,48.65,78.0,26.5,2
b1eb45ea-c95f-4f0f-8196-1d570ca1ad3e,South Keithton,5,Low,2851,0,51.443999999999996,60.0,23.2,6
42540d08-116a-4aad-9149-a3d77fd5d068,Annaborough,5,Medium,822,0,25.68,71.0,32.7,11
a4feb575-af4e-4c8d-a2c1-01258be01149,Theresahaven,2,Medium,1544,0,43.93,75.0,28.9,5
ff0f88d7-583e-4f4d-a3dd-f47a2b55aaae,East Kevinbury,3,Low,1401,0,26.61,,32.1,4
6bc3502b-2ed2-4cad-8f2e-4c0476f5ffa6,Port Kyleton,3,Low,1769,0,32.69,63.0,25.4,10
832a6078-20ac-4b0a-ba86-fe78a0510f01,Brookeville,3,Low,1978,0,36.5,69.0,30.6,9
75d7afe4-cfb7-458d-8eca-968c0278aa6f,South Derekton,5,Medium,2642,0,48.552,73.0,27.3,8
d883779b-11a2-4ee1-8e2f-85103eae02fc,West Rachaelborough,4,High,880,1,27.12,79.0,29.9,11
d3a04f4f-bc8e-4d91-944e-f9cf0f0d155a,North Johnville,3,High,1282,1,29.124,77.0,28.7,7
a2d84b60-a75f-42c3-aec8-868df716f046,South Joyce,5,Medium,2230,0,46.46,62.0,21.0,4
c05a20d8-dd92-4404-8fcd-24f203b14042,Ericastad,2,Low,832,0,43.77,65.0,17.5,11
418dc315-51c7-4884-8866-e592e12e79af,Danielbury,4,High,2882,1,21.39,77.0,31.1,3
2684d0da-bf25-4f2b-b9a2-dc882c838064,Gallagherfort,2,Medium,2072,1,38.8,68.0,16.5,1
